what are bigos?	["Stew"]	["Polish food"]
which ocean does the zambezi river flow into?	["Indian Ocean"]	["Indian Ocean"]
what language do people speak in the bahamas?	["Bahamas Creole English Language", "English Language"]	["English Language"]
what type of government does italy have 2011?	["Parliamentary republic"]	["Constitutional republic", "Parliamentary republic", "Unitary republic"]
what type of books did agatha christie wrote?	["Crime writer"]	["The Regatta Mystery", "The Unexpected Guest", "Les vacances d'hercule poirot", "Funerals Are Fatal (R", "Love from a Stranger", "Five Poirot Mysteries", "Dreizehn Bei Tisch", "Muerte En La Vicaria/Murder at the Vicarage", "Third girl", "Une poignee de seigle", "Mon petit doigt m'a dit", "Vostocnyi Ekspress", "Poirot loses a client", "The Murder of Roger Ackroyd", "A Murder Is Announced", "The Pale Horse", "Absent in the Spring", "One, Two, Buckle My Shoe", "Le Mystere De Listerdale", "Double Sin and Other Stories", "Ocho Casos de Poirot", "Die Mausefalle und andere Fallen", "There is a tide", "Mrs McGinty's Dead", "They Came to Baghdad", "Mr. Parker Pyne, detective", "The Bloodstained Pavement", "Three Poirot Dramas", "Pierwsze, drugie--- zapnij mi obuwie", "Pleamares De La Vida", "El Espejo Roto", "Wczesne sprawy Poirota", "Le Train de 16h50", "Last Machine", "Dead Man's Folly", "And Then Wr None E", "Intriga en Bagdad", "Mr Brown", "Relojes, Los", "Associe\u0301s contre le crime", "Endless Night", "Peril at End House", "The Murder at the Vicarage", "Hickory Dickory Dock", "The Clocks", "El truco de los espejos", "A Daughter's a Daughter", "Murder international", "Ten little Indians", "The Scoop and Behind the Screen", "Los Cuatro Grandes", "Blaus\u00e4ure", "Crooked House", "Murder W Mirrors", "Cards on the Table", "The Mysterious Affair at Styles", "Murder at the Vicarage", "The Hollow", "Evil Under the Sun", "Elephants Can Remember", "Murder in Mesopotamia", "The Body in the Library", "Sparkling Cyanide", "The Labours of Hercules", "Allo, Hercule Poirot", "Le No\u00ebl d'Hercule Poirot", "Pasajero Para Francfort", "Passenger to Frankfurt", "Death in the Clouds", "The A.B.C. Murders", "Poirot joue le jeu", "The Mysterious Mr Quin", "Poirot investigates", "Rendez-vous avec la mort", "So many steps to death", "O paravatis tis evdomis entolis", "The clocks", "T\u00e9moin \u00e0 charge", "Proba niewinnosci", "Wiedersehen mit Mrs. Oliver", "Agatha Christie bibliography", "Sleeping Murder", "The Mystery of the Blue Train", "Sad Cypress", "A Pocket Full of Rye", "Cat Among the Pigeons", "A Caribbean Mystery", "Partners in Crime", "16.50 ab Paddington", "Folio", "At Bertrams Hotel", "Das fehlende Glied in der Kette", "Murder after hours (The hollow)", "Dinner for Two. Die Katze im Taubenschlag / Morphium", "Primeros Casos De Poirot", "Bound to Talk", "The Moving Finger", "The Secret Adversary", "Curtain", "The Sittaford Mystery", "Dumb Witness", "Third Girl", "Postern of Fate", "And Then There Were None", "Endless night", "The Murder on the Links", "A l'ho\u0302tel Bertram", "N. ou M.? =", "La maison du p\u00e9ril", "Cafe Solo", "N or M?", "Cita Con La Muerte", "Mrs McGintys Dead", "The Mirror Crack'd from Side to Side", "Hallowe'en Party", "The Under Dog and Other Stories", "So Many Step Death", "Ubistvo V Mesopotamii", "Telon", "Le Vallon", "Passeggero per Francoforte", "Psycho. Das B\u00f6se unter der Sonne / Rendezvous mit einer Leiche", "Mord in Mesopotamien. Ein Hercule- Poirot- Krimi", "Dziesieciu murzynkow", "A B C Murders", "Book of Science", "Towards Zero", "Der Tod auf dem Nil", "Pourquoi pas Evans ?", "Trois Souris..", "Les enqu\u00eates d'Hercule Poirot", "Adventures of Poirot/Ldl 637", "Pension Vanilos", "Dogu Espresinde Cinayet", "UC APPOINTMENT WITH DEATH", "Le chat et les pigeons", "Death on the Nile", "At Bertram's Hotel", "Three Act Tragedy", "Taken at the Flood", "Ordeal by Innocence", "The Big Four", "Appointment with Death", "Murder on the Orient Express", "Le Train bleu", "Hotel Bertram", "Dreizehn bei Tisch", "Die besten Crime- Stories. Meistererz\u00e4hlungen der Queen of Crime", "The Floating Admiral", "While the Light Lasts and Other Stories", "Problem at Pollensa Bay and Other Stories", "Black Coffee", "Appointment with Death", "The Road of Dreams", "Murder on the Nile/Hidden Horizon", "The Hollow", "Peril at End House", "Spider's Web", "Chimneys", "Personal Call", "Spider's Web", "Hickry Dickry Deth", "Temoin Indesirable", "La Muerte De Lord Edgware/lord Edgware's Death", "Das Haus an der D\u00fcne", "Der unheimliche Weg", "Lauter reizende alte Damen", "Mr Quinn en voyage", "Das Geheimnis der Goldmine", "Dix br\u00e8ves rencontres", "El Misterio Del Tren Azul", "Murder preferred", "Pani McGinty nie zyje", "Tragedia En Tres Actos", "Un, deux, trois\u00c2", "Le Noel De Hercule Poirot", "Zlo Pod Solncem", "Die ersten und die letzten Arbeiten des Herkules. Geschichten mt Hercule Poirot", "Ten little niggers", "Hora de Agatha Christie, La", "Das Eulenhaus", "E troppo facile", "Kapriz", "Une m\u00e9moire d'\u00e9l\u00e9phant", "What McGillicuddy Saw", "Zeugin der Anklage / Der Pr\u00fcgelknabe. Mit Hercule Poirot", "8 casos de Poirot", "Alibi", "Assorted Fontanas", "Kuolema N\u00efililla", "Passager pour Francfort", "T\u00e9moin muet", "Un cadavre dans la bibliothe  que", "Christie/West 15-copy mixed pack", "Curtain X", "Die gro\u00dfen Vier", "Ruhe unsanft", "Schneewittchen- Party", "Zwei kleine M\u00f6rderlein. Wiedersehen mit Mrs. Oliver / Mord im Pfarrhaus", "Cinayetler kapisi", "Les Pendules", "Kot ws\u0301ro\u0301d go\u0142e\u0327bi", "Murder Is Announce", "The nursery rhyme murders", "Go back for murder", "Hicory Dickory Dock", "Cinq Heures Vingt-Cinq", "Destino Desconocido", "Un meutre est-il facile?", "The Nemean Lion", "Smierc lorda Edgware'a", "Le Myst\u00e9rieux Mr. Quinn", "M\u00f6rdergarn", "Der Unfall und andere F\u00e4lle. Crime Stories", "Mord im Pfarrhaus", "\u0110a ti\u0300nh \u0110a sa\u0301t", "De Dodes Advokat", "Murder for Christmas: a Poirot Story", "Noc i ciemnosc", "Tercera Muchacha", "A.B.C. contre Poirot", "Cinco Cerditos", "Cinq Petits Cochons", "Detective English", "Meurtre en M\u00e9sopotamie", "Telaraa, La", "And Then Wr None", "Ein diplomatischer Zwischenfall", "En El Hotel Bertram", "Hollowe'en Party", "La venganza de Nofret", "Make mine murder", "Poirot dead on", "Un Cadauve Dans La Bibliotheque", "Un Meurtre Sera Commis Le..", "16 Uhr 50 Ab Paddington", "Cianuro Espumoso/Remembered Death", "La Nuit Qui NE Finit Pas", "Meurtre au champagne", "Afternoon at the Seaside", "Pora przyp\u0142ywu", "The rats", "Segugio Della Morte", "Das fahle Pferd", "Desjat' Negritjat", "A Rainha Do Crime", "Strza\u0142y w Stonygates", "Cuadro, El", "\u00c0 l'h\u00f4tel Bertram", "Schicksal in Person/Nemesis", "Der Tod wartet", "Dead Mans Folly", "Enc De Terminos Microcomputac", "Le Club Du Mardi Continue", "Poirot r\u00e9sout trois \u00e9nigmes", "Un delitto avra luogo", "The Girdle of Hyppolita", "Pajeczyna", "Ein gef\u00e4hrlicher Gegner", "Cuatro Grandes, Los", "Enigmatico Sr. Quinn", "Musique barbare", "Apocrypha of Crime", "Auch P\u00fcnktlichkeit kann t\u00f6ten. Crime Stories", "Death by Drowning", "Der Mann im braunen Anzug", "I Ipographi tou Dolofonou", "Les Enquettes D'Hercule Poirot", "Murder-go-round", "10 Little Indianse", "Four-and-twenty Blackbirds", "The Kidnapped Prime Minister", "Nemesis / Nemesis", "Nemisis", "Sledztwo na cztery rece", "Solange es hell ist", "Venganza de Nofref, La", "Y no qued\u00f3 ninguno", "10 Little Indians", "Assassino allo specchio", "Ipsili tehni to eglima", "O lu m sessiz geldi", "Godzina zero", "MIRROR CRACKD (Miss Marple Mysteries", "Smert V Oblakach", "What Mrs. McGillicuddy Saw", "13 for luck!", "Das Schicksal in Person", "Der Wachsblumenstrau\u00df", "Diez Negritos", "Ubijstvo V Dome Vikarija", "The labors of Hercules", "Zakon\u0301czeniem jest s\u0301mierc\u0301", "Les indiscr\u00e9tions d'Hercule Poirot", "Mord Auf Dem Golfplatz", "Sprechende Hoffnung - werdende Kirche. Den Glauben vorschlagen in der heutigen Gesellschaft", "Inocencia Tragica", "The mousetrap", "Mord im Spiegel", "4.50 Iz Paddingtona"]
what high school did lil wayne graduate from?	["Mcmain Magnet Secondary School"]	["University of Houston", "Lafayette Elementary School", "University of Phoenix", "Eleanor McMain Secondary School", "Mcmain Magnet Secondary School"]
where is the headquarters of bank of america?	["Charlotte"]	["Charlotte"]
where did andy murray started playing tennis?	["United Kingdom"]	["2012 US Open", "2009 ABN AMRO World Tennis Tournament", "2013 Wimbledon Championships", "2009 Rogers Cup", "2012 Dubai Tennis Championships", "2009 Aegon Championships"]
what team did david beckham play for in 2011?	["LA Galaxy"]	["Real Madrid C.F.", "A.C. Milan", "England national football team", "Manchester United F.C.", "Preston North End F.C.", "Paris Saint-Germain F.C.", "LA Galaxy", "England national under-21 football team"]
what kind of government does cuba have today?	["Semi-presidential system", "Socialist state", "Republic", "Unitary state"]	["Republic", "Unitary state", "Socialist state", "Semi-presidential system"]
where did sally pearson go to primary school?	["Helensvale State High School"]	["Helensvale State High School"]
what team will michael vick play for in 2011?	["Philadelphia Eagles"]	["Virginia Tech Hokies football", "Atlanta Falcons", "Philadelphia Eagles"]
what are the official languages of argentina?	["Yiddish Language", "Italian Language", "Spanish Language"]	["Spanish Language"]
when did the philadelphia flyers win the cup?	["1974 Stanley Cup Finals", "1975 Stanley Cup Finals"]	["1975 Stanley Cup Finals", "1974 Stanley Cup Finals"]
what did shakespeare learn in grammar school?	["william shakespeare performed play by thomas dekker"]	["King Edward VI School, Stratford-upon-Avon"]
when was the most recent earthquake in haiti?	["2010 Haiti Earthquake"]	["Ouanaminthe Arrondissement", "Aquin Arrondissement", "M\u00f4le-Saint-Nicolas Arrondissement", "Les Cayes Arrondissement", "C\u00f4teaux Arrondissement", "Chardonni\u00e8res Arrondissement", "Port-Salut Arrondissement", "Port-de-Paix Arrondissement", "Mirago\u00e2ne Arrondissement", "Borgne Arrondissement", "Saint-Marc Arrondissement", "Lascahobas Arrondissement", "Hinche Arrondissement", "Acul-du-Nord Arrondissement", "Jacmel Arrondissement", "Anse d'Hainault Arrondissement", "Cerca-la-Source Arrondissement", "Mirebalais Arrondissement", "Valli\u00e8res Arrondissement", "Plaisance Arrondissement", "L\u00e9og\u00e2ne Arrondissement", "Croix-des-Bouquets Arrondissement", "Cap-Ha\u00eftien Arrondissement", "Bainet Arrondissement", "J\u00e9r\u00e9mie Arrondissement", "Barad\u00e8res Arrondissement", "Belle-Anse Arrondissement", "Saint-Rapha\u00ebl Arrondissement", "Dessalines Arrondissement", "Gros-Morne Arrondissement", "Corail Arrondissement", "Fort-Libert\u00e9 Arrondissement", "Saint-Louis-du-Nord Arrondissement", "Trou-du-Nord Arrondissement", "Arcahaie Arrondissement", "Gona\u00efves Arrondissement", "Marmelade Arrondissement", "Grande-Rivi\u00e8re-du-Nord Arrondissement", "Anse-\u00e0-Veau Arrondissement", "Port-au-Prince Arrondissement", "Limb\u00e9 Arrondissement", "Gon\u00e2ve"]
what is the milwaukee brewers stadium called?	["Miller Park"]	["Miller Park"]
who did steve spurrier play pro football for?	["San Francisco 49ers"]	["South Carolina Gamecocks football"]
what college did martin luther king jr go to?	["Morehouse College"]	["Boston University", "Washington High School", "Morehouse College", "Crozer Theological Seminary"]
who did ricky martin started his career with?	["Menudo"]	["Rebecca de Alba"]
what is the political system of south africa?	["Federation", "Democracy", "Dominant-party system", "Presidential system", "Parliamentary system", "Liberal democracy", "Republic", "Parliamentary republic"]	["Constitutional republic", "Parliamentary republic"]
what part did winona ryder play in star trek?	["Amanda Grayson"]	["Amanda Grayson"]
what year did the seahawks win the superbowl?	["2006 NFL season"]	["NFC West"]
what are some famous people from el salvador?	["William Torres Alegria", "Ana Sol Gutierrez", "Julio Enrique Mart\u00ednez", "Andr\u00e9s Eduardo Men\u00e9ndez", "Erwin Raphael McManus", "Willian Renderos Iraheta", "\u00d3scar Navarro", "Ruben Cedillos", "Roberto Carlos Martinez", "Raul Antonio Garcia"]	["Wilfredo Iraheta", "Pedro Jos\u00e9 Escal\u00f3n", "DJ Quest", "Jos\u00e9 No\u00e9 Melgar", "Elmer Acevedo", "Norman Quijano", "Paula Heredia", "Keoki", "Marlon Menj\u00edvar", "Elena Diaz", "Laura Molina", "Eduardo Hern\u00e1ndez", "Alfredo Ruano", "Alexander Campos", "Arturo Armando Molina", "Carlos Linares", "Bobby Rivas", "Erwin Raphael McManus", "Jose Orlando Martinez", "Mauricio Alonso Rodr\u00edguez", "Miguel Ca\u00f1izalez", "Francisco Gavidia", "Ana Sol Gutierrez", "Joel Aguilar", "Jos\u00e9 Luis Rugamas", "Carlos Flores", "Jos\u00e9 Manfredi Portillo", "Jos\u00e9 Mar\u00eda Ca\u00f1as", "Ruben Cedillos", "F\u00e9lix Pineda", "Jose Solis", "Roberto Rivas", "Armando Chac\u00f3n", "Saturnino Osorio", "Ernesto Aparicio", "Omar Sevilla", "Sarah Ramos", "Juan Ram\u00f3n S\u00e1nchez", "\u00c1lvaro Maga\u00f1a", "Jorge B\u00facaro", "Tom\u00e1s Medina", "Doroteo Vasconcelos", "Rafael Campo", "Francisco Due\u00f1as", "Gerardo Barrios", "Manuel Enrique Araujo", "Jorge Mel\u00e9ndez", "Salvador Castaneda Castro", "Julio Adalberto Rivera Carballo", "Rutilio Grande", "V\u00edctor Ram\u00edrez", "Fausto Omar V\u00e1squez", "Miguel Angel Deras", "Gualberto Fern\u00e1ndez", "Claudia Lars", "Victor Manuel Ochoa", "Ra\u00fal Cicero", "Carlos Barrios", "Jos\u00e9 Inocencio Alas", "Patricia Chica", "Jaime Portillo", "Genaro Serme\u00f1o", "Eduardo \"Volkswagen\" Hern\u00e1ndez", "Arturo Rivera y Damas", "Enrique \u00c1lvarez", "Mario Montoya", "Jos\u00e9 Francisco Valiente", "Richard Oriani", "German C\u00e1ceres", "\u00c1ngel Orellana", "Guillermo Garc\u00eda", "Selvin Gonz\u00e1lez", "William L\u00f3pez", "Melvin Barrera", "William Renderos Iraheta", "Andr\u00e9s Eduardo Men\u00e9ndez", "Carlos Humberto Romero", "Roberto Carlos Martinez", "Consuelo de Saint Exup\u00e9ry", "Jos\u00e9 Castellanos Contreras", "Nicolas F. Shi", "Rafael Menj\u00edvar Ochoa", "Pedro Chavarria", "Armando Calder\u00f3n Sol", "Miguel Cruz", "Bernard Lewinsky", "Papa A.P.", "Francisco Men\u00e9ndez", "Edwin Ramos", "Steve Montenegro"]
when the atlanta braves won the world series?	["1995 World Series"]	["1995 World Series"]
what kind of cancer did farrah fawcett die of?	["Anal cancer"]	["Anal cancer"]
what type of government does germany have now?	["Constitutional republic", "Multi-party system", "Federal republic", "Democracy", "Parliamentary republic"]	["Representative democracy", "Federal republic", "Constitutional republic", "Parliamentary republic"]
who plays stephanie plum in one for the money?	["Katherine Heigl"]	["Katherine Heigl"]
what type of equipment did dorothea lange use?	["Photography"]	["Social realism"]
what kind of government does libya have today?	["Provisional government", "Parliamentary republic"]	["Parliamentary republic", "Provisional government"]
who did the voice of darth vader in episode 3?	["Hayden Christensen"]	["Hayden Christensen"]
what is the zip code for schenectady new york?	["12325", "12305", "12304", "12307", "12306", "12301", "12303", "12302", "12345", "12308"]	["12309", "12304", "12302", "12308", "12305", "12307", "12306", "12303", "12345", "12325", "12301"]
what is the name of the currency used in peru?	["Peruvian nuevo sol"]	["Peruvian nuevo sol"]
what year did baltimore ravens win super bowl?	["Super Bowl XXXV", "Super Bowl XLVII"]	["Super Bowl XLVII", "Super Bowl XXXV"]
what currency does the czech republic use now?	["Czech koruna"]	["Czech koruna"]
what type of currency do they use in thailand?	["Thai baht"]	["Thai baht"]
who is the governor of pennsylvania state now?	["Tom Corbett"]	["Henry M. Hoyt", "William A. Stone", "Edward Martin", "William Cameron Sproul", "William Bigler", "Ed Rendell", "Arthur James", "Francis R. Shunk", "Raymond P. Shafer", "Dick Thornburgh", "William F. Johnston", "John W. Geary", "Mark S. Schweiker", "Joseph Hiester", "Tom Ridge", "Simon Snyder", "George Howard Earle III", "Samuel W. Pennypacker", "John S. Fine", "John C. Bell, Jr.", "Milton Shapp", "Joseph Ritner", "George M. Leader", "John Stuchell Fisher", "George Wolf", "David R. Porter", "James Pollock", "William F. Packer", "Robert E. Pattison", "James A. Beaver", "Daniel H. Hastings", "Robert P. Casey", "Andrew Gregg Curtin", "James H. Duff", "Edwin Sydney Stuart", "David L. Lawrence", "Thomas Mifflin", "Tom Corbett", "William Scranton", "Gifford Pinchot", "John K. Tener", "Thomas McKean", "John Andrew Shulze", "Martin Grove Brumbaugh", "John F. Hartranft", "William Findlay"]
what countries does greece share borders with?	["Turkey", "Republic of Macedonia", "Albania", "Lake Prespa", "Bulgaria"]	["Bulgaria", "Turkey", "Albania", "Republic of Macedonia", "Lake Prespa"]
who became president when henry harrison died?	["John Tyler"]	["Benjamin Harrison", "James Monroe", "William Henry Harrison", "James A. Garfield", "Franklin D. Roosevelt", "George Washington", "George Bush", "Gerald Ford", "John Quincy Adams", "Jimmy Carter", "William Howard Taft", "John F. Kennedy", "Abraham Lincoln", "Barack Obama", "Bill Clinton", "James Madison", "Ronald Reagan", "Thomas Jefferson", "Harry S. Truman", "Theodore Roosevelt", "James Buchanan", "Lyndon B. Johnson", "John Tyler", "James K. Polk", "Ulysses S. Grant", "Dwight D. Eisenhower", "George H. W. Bush", "Richard Nixon", "Woodrow Wilson", "Zachary Taylor", "Herbert Hoover", "Calvin Coolidge", "William McKinley", "John Adams", "Rutherford B. Hayes", "Chester A. Arthur", "Warren G. Harding", "Grover Cleveland", "Martin Van Buren", "Franklin Pierce", "Andrew Jackson", "Andrew Johnson", "Millard Fillmore"]
what was the cause of death for laci peterson?	["Murder"]	["Murder"]
who are the members of the supreme court 2009?	["John Roberts"]	["Diana Ross", "Mary Wilson", "Scherrie Payne", "Susaye Greene", "Florence Ballard", "Jean Terrell", "Cindy Birdsong", "Lynda Laurence", "Barbara Martin", "Betty McGlown"]
what team does david beckham play for in 2012?	["LA Galaxy"]	["Real Madrid C.F.", "A.C. Milan", "England national football team", "Manchester United F.C.", "Preston North End F.C.", "Paris Saint-Germain F.C.", "LA Galaxy", "England national under-21 football team"]
who was vice president when jfk was president?	["Lyndon B. Johnson"]	["Lyndon B. Johnson"]
where did rudolf virchow conduct his research?	["Humboldt University of Berlin", "University of W\u00fcrzburg"]	["German Empire"]
what are the most popular religions in israel?	["Judaism"]	["Judaism"]
what was the first book charles dickens wrote?	["Oliver Twist"]	["Great expectations", "A Tale of Two Cities", "A Tale of Two Cities (Student's Novels)", "A Tale of Two Cities (The Greatest Historical Novels)", "A Christmas Carol (Whole Story)", "A Tale of Two Cities (Bantam Classic)", "Bleak House", "Little Dorrit", "Oliver Twist", "The Pickwick Papers", "Little Dorrit", "Great expectations", "A Tale of Two Cities (Oxford Playscripts)", "A Tale of Two Cities (Enriched Classic)", "Oliver Twist", "A Christmas Carol", "Hard times", "A Christmas Carol (Puffin Classics)", "Bleak House", "A Christmas Carol", "A Tale of Two Cities (Classics Illustrated)", "A Christmas Carol (Large Print)", "Dombey and Son", "David Copperfield", "David Copperfield", "A Christmas Carol (Cover to Cover)", "A Tale of Two Cities (Longman Classics, Stage 2)", "Hard times", "The old curiosity shop", "Oliver Twist", "Great expectations", "David Copperfield.", "A Tale of Two Cities (Webster's Chinese-Traditional Thesaurus Edition)", "Dombey and Son", "A Christmas Carol", "A Christmas Carol", "The mystery of Edwin Drood", "Our mutual friend", "A Christmas Carol (Limited Editions)", "A Tale of Two Cities (Simple English)", "Oliver Twist", "A Christmas Carol (Ladybird Children's Classics)", "A Tale of Two Cities (Penguin Popular Classics)", "A Tale of Two Cities (Paperback Classics)", "Great expectations", "A Christmas Carol (Bantam Classic)", "Dombey and Son", "The old curiosity shop.", "A Christmas Carol (Classics Illustrated)", "A Christmas Carol (Radio Theatre)", "A Christmas Carol (Nelson Graded Readers)", "A Christmas Carol (Webster's Portuguese Thesaurus Edition)", "A Tale of Two Cities (Courage Literary Classics)", "A Tale of Two Cities (Illustrated Junior Library)", "A Tale of Two Cities (Unabridged Classics)", "A Tale of Two Cities (Clear Print)", "David Copperfield", "The old curiosity shop", "A Tale of Two Cities (Adopted Classic)", "A Tale of Two Cities (Cyber Classics)", "A Christmas Carol (Children's Classics)", "A Tale of Two Cities", "Martin Chuzzlewit", "A Tale of Two Cities", "The old curiosity shop", "A Tale of Two Cities (Penguin Readers, Level 5)", "A Christmas Carol", "A Tale of Two Cities (Cassette (1 Hr).)", "A Tale of Two Cities (Amsco Literature Program - N 380 ALS)", "A Christmas Carol (Pacemaker Classic)", "Oliver Twist", "Bleak House.", "A Tale of Two Cities (Everyman Paperbacks)", "Martin Chuzzlewit", "A Tale of Two Cities (Naxos AudioBooks)", "A Christmas Carol (Puffin Classics)", "A Tale of Two Cities (Classics Illustrated Notes)", "A Tale of Two Cities (Lake Illustrated Classics, Collection 2)", "Great expectations", "A Christmas Carol (Everyman's Library Children's Classics)", "The cricket on the hearth", "A Tale of Two Cities", "A Tale of Two Cities (BBC Audio Series)", "A Christmas Carol. (Lernmaterialien)", "Bleak house", "A Tale of Two Cities (Konemann Classics)", "Bleak House", "Great expectations", "Little Dorrit", "A Tale of Two Cities (Progressive English)", "Hard times", "A Christmas Carol (Tor Classics)", "A Tale of Two Cities (Barnes & Noble Classics Series)", "A Tale of Two Cities", "David Copperfield", "Great expectations.", "A Tale of Two Cities (Macmillan Students' Novels)", "A Christmas Carol (Reissue)", "Oliver Twist", "Hard times", "Oliver Twist", "A Christmas Carol (Cp 1135)", "The Old Curiosity Shop", "A Tale of Two Cities (Acting Edition)", "Oliver Twist", "A Christmas Carol (Usborne Young Reading)", "Great Expectations", "A Christmas Carol (Children's Theatre Playscript)", "A Tale of Two Cities (Lake Illustrated Classics, Collection 2)", "The Old Curiosity Shop", "A Christmas Carol (Classic, Picture, Ladybird)", "Great expectations", "A Christmas Carol (Whole Story)", "A Tale of Two Cities (Classic Retelling)", "A Tale of Two Cities (Dover Thrift Editions)", "A Tale of Two Cities (Compact English Classics)", "Oliver Twist", "Great expectations", "A Tale of Two Cities (Pacemaker Classics)", "A Tale Of Two Cities (Adult Classics in Audio)", "A Christmas Carol (Saddleback Classics)", "A Tale of Two Cities (Ladybird Children's Classics)", "Bleak House", "A Christmas Carol (Dramascripts Classic Texts)", "Great expectations", "Our mutual friend", "A Christmas Carol (Thornes Classic Novels)", "A Tale of Two Cities (40th Anniversary Edition)", "A Tale of Two Cities (Soundings)", "Great Expectations.", "A Tale of Two Cities (New Oxford Illustrated Dickens)", "David Copperfield", "A Christmas Carol (Clear Print)", "A Christmas Carol (Watermill Classics)", "The mystery of Edwin Drood", "Hard times", "The mystery of Edwin Drood", "Little Dorrit", "A Christmas Carol (Dramascripts)", "A Christmas Carol (Illustrated Classics)", "A Tale of Two Cities (Masterworks)", "A Tale of Two Cities (Cover to Cover Classics)", "A Tale of Two Cities (Oxford Bookworms Library)", "Martin Chuzzlewit", "Martin Chuzzlewit", "Martin Chuzzlewit", "Martin Chuzzlewit", "Martin Chuzzlewit", "Martin Chuzzlewit", "Oliver Twist", "Dombey and Son", "A Christmas Carol (Penguin Readers, Level 2)", "Our mutual friend", "A Christmas Carol (R)", "A Tale of Two Cities (Wordsworth Classics)", "Our mutual friend", "Our mutual friend", "Our mutual friend", "Dombey and Son", "A Tale Of Two Cities (Adult Classics)", "A Christmas Carol (Webster's Korean Thesaurus Edition)", "A Christmas Carol", "A Christmas Carol (Aladdin Classics)", "A Christmas Carol", "A Christmas Carol (Pacemaker Classics)", "Great expectations", "A Christmas Carol (Classic Fiction)", "A Tale of Two Cities (Illustrated Classics)", "Hard times", "A Christmas Carol (Dramascripts)", "A Christmas Carol (Watermill Classic)", "Our mutual friend.", "Hard times", "A Christmas Carol (Value Books)", "A Tale of Two Cities (Large Print Edition)", "Bleak House", "A Tale Of Two Cities (Classic Books on Cassettes Collection)", "Great expectations", "A Christmas Carol (Oxford Bookworms Library)", "Great expectations", "The Mystery of Edwin Drood", "Little Dorrit", "A Christmas Carol (Reissue)", "A Christmas Carol (Puffin Classics)", "Hard times", "The Pickwick papers", "A Christmas Carol (Penguin Student Editions)", "A Tale of Two Cities (Everyman's Library Classics)", "A Tale of Two Cities (Illustrated Classics)", "Great expectations", "The mystery of Edwin Drood", "A Christmas Carol (Gollancz Children's Classics)", "Oliver Twist", "Little Dorrit", "The mystery of Edwin Drood", "Great expectations", "A Christmas Carol (Green Integer, 50)", "David Copperfield", "A Christmas Carol (Apple Classics)", "A Christmas Carol (New Longman Literature)", "A Tale of Two Cities (Piccolo Books)", "A Christmas Carol (Puffin Choice)", "A Christmas Carol (Bantam Classic)", "The cricket on the hearth", "A Tale of Two Cities (10 Cassettes)", "A Tale of Two Cities (Cover to Cover Classics)", "A Christmas Carol", "A Christmas Carol (Acting Edition)", "A Tale of Two Cities (Collector's Library)", "A Christmas Carol (Audio Editions)", "Bleak House", "Sketches by Boz", "A Tale of Two Cities (Puffin Classics)", "The life and adventures of Nicholas Nickleby", "Bleak House.", "A Tale of Two Cities (Classic Literature with Classical Music)", "David Copperfield", "A Christmas Carol (Large Print)", "A TALE OF TWO CITIES", "Little Dorrit", "A Christmas Carol", "A Tale of Two Cities (Bantam Classic)", "Great expectations", "A Christmas Carol (Classic Books on Cassettes Collection)", "Great expectations", "A Christmas Carol", "A Tale of Two Cities (Longman Fiction)", "A Tale of Two Cities (Webster's German Thesaurus Edition)", "A Tale of Two Cities (Silver Classics)", "Hard times", "A CHRISTMAS CAROL", "David Copperfield", "A Tale of Two Cities (Everyman's Library (Paper))", "Little Dorrit", "The old curiosity shop", "The Pickwick papers", "The Pickwick papers", "A Tale of Two Cities (Webster's Chinese-Simplified Thesaurus Edition)", "A Tale of Two Cities (Webster's Portuguese Thesaurus Edition)", "A Christmas Carol (Soundings)", "A Christmas Carol (Classics for Young Adults and Adults)", "A Christmas Carol", "The mystery of Edwin Drood", "Sketches by Boz", "A Christmas Carol (Great Stories)", "David Copperfield", "Sketches by Boz", "David Copperfield", "A Tale of Two Cities (Dramatized)", "Great expectations", "A Tale of Two Cities (Isis Clear Type Classic)", "Oliver Twist", "A Christmas Carol (Radio Theatre)", "A Christmas Carol (Illustrated Classics)", "A Christmas Carol", "A Christmas Carol (Family Classics)", "Great expectations", "Oliver Twist", "The life and adventures of Nicholas Nickleby", "Bleak House", "Bleak House", "Bleak House", "A Tale of Two Cities (Webster's Italian Thesaurus Edition)", "Great expectations", "David Copperfield", "A Christmas Carol. (Lernmaterialien)", "A Christmas Carol", "A Christmas Carol", "Oliver Twist", "A Christmas Carol (Young Reading Series 2)", "Great expectations", "Great expectations", "Great expectations", "David Copperfield", "A Tale of Two Cities (Unabridged Classics for High School and Adults)", "A Christmas Carol (Reissue)", "A Christmas Carol", "A Tale of Two Cities (Dramascripts S.)", "A Tale of Two Cities", "A Tale of Two Cities (Prentice Hall Science)", "Oliver Twist", "Hard times", "A Tale of Two Cities (Collected Works of Charles Dickens)", "A Christmas Carol (Enriched Classics)", "Oliver Twist", "Hard times", "A Christmas Carol (Through the Magic Window Series)", "A Christmas Carol", "Great expectations", "Little Dorrit", "Dombey and Son", "A Tale of Two Cities (Classic Fiction)", "The mystery of Edwin Drood", "Oliver Twist", "A Tale of Two Cities (Unabridged Classics for High School and Adults)", "David Copperfield", "A Tale of Two Cities (Dodo Press)", "A Tale of Two Cities (Tor Classics)", "A Tale of Two Cities (Cyber Classics)", "Bleak House"]
